Type,ID,Profile,Caption,Date,Location,URL,TypeName,MediaCount,Likes,Comments,Video Views,Is Video,Engagement Rate,Hashtags,Mentions,Tagged Users,Followers,Following,Image URL
post,3146610373696202430,ondemandacademy,"MWIT vs KVIS ต่างกันยังไง ?
เลือกเรียนม.ปลาย ที่ไหน แบบไหนเหมาะ แบบไหนใช่กับตัวเอง ?
เซฟเก็บไว้อ่านกันได้เลย
.
#สอบเข้าม4 #TU87 #MWIT #KVIS",2023-07-14 09:00:08,,https://www.instagram.com/p/CurAXaiuKa-,GraphSidecar,5,1085,0,,False,2.278645833333333,#สอบเข้าม4 #TU87 #MWIT #KVIS,,,47616,66,https://instagram.fbkk6-1.fna.fbcdn.net/v/t39.30808-6/359723052_296045219475323_7866667781475045055_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.fbkk6-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=JlXEdx-WlGAAX-5z-_0&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfBk6JSjAb6N1xIfmWNPTqVeiMnWPtq8m132-9oZB4fC8A&oe=64F214C7&_nc_sid=bc0c2c
post,3145719496453830298,ondemandacademy,"3 คำ สับสนง่าย Lie / Lie / Lay
.
🤗 หลายๆคน คงคุ้นกับคำว่า ""Lie"" หมายถึง ""โกหก""
แต่ ""Lie"" ยังหมายถึง ""วางลง นอนลง""

แต่ วาง ก็สามารถใช้. ""Lay"" ได้เหมือนกัน
ยิ่งอ่านยิ่งสับสน 😵
.
🔑 หากใช้ Lie ไม่ต้องมี obj. แต่ถ้าใช้ Lay ต้องมี obj.
.
มาเรียนภาษาอังกฤษกับ พี่พีค พี่แนนนิ ได้เทคนิคอีกเพียบ
 ===========================
🔔 กดติดตาม @ PremierPrepEng ได้ทุกช่องทาง เพื่อรับความรู้ภาษาอังกฤษอีกเพียบ
 ===========================
สอบถามรายละเอียดเพิ่มเติม:
💬 Line: @PremierPrep
📞 061-4944424
#PremierPrepbyOndemand #PremierPrep #OnDemand #เรียนภาษาอังกฤษ #PremierTips",2023-07-13 03:30:08,,https://www.instagram.com/p/Cun1zcdJraa,GraphImage,1,207,0,,False,0.43472782258064513,#PremierPrepbyOndemand #PremierPrep #OnDemand #เรียนภาษาอังกฤษ #PremierTips,premierprep,,47616,66,https://instagram.fbkk6-1.fna.fbcdn.net/v/t39.30808-6/358486619_295895916156920_4229479882015741434_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=instagram.fbkk6-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=AsfNuzwqJhkAX849LBz&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfCjT_KJJHb-Qfy8CuSOekA50sdVVuK4-uw2AZa05qmoDg&oe=64F20DDF&_nc_sid=bc0c2c
post,3145172664801191874,ondemandacademy,"ตาบอดสี เป็นหมอได้ไหม ?
คำถามยอดฮิตที่พี่วิเวียนต้องเจอ... มาตอบน้อง ๆ ไว้ให้แล้ว !!
#กสพท #TPAT1 #TCAS67 #DEK67",2023-07-12 09:23:41,,https://www.instagram.com/p/Cul5d_yvmfC,GraphImage,1,707,0,,False,1.4847950268817205,#กสพท #TPAT1 #TCAS67 #DEK67,,,47616,66,https://instagram.fbkk6-1.fna.fbcdn.net/v/t39.30808-6/358548623_296030599476785_5547763923532755781_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=instagram.fbkk6-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=_HBIBlcffUwAX8rfoXp&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfC6xM_LeA_26-Ih25dk7t60mStEplZWB5ozzHMCG4e1uw&oe=64F36EBC&_nc_sid=bc0c2c
post,3145089939537231870,ondemandacademy,#เคล็ดลับ : เรียน Learn Anywhere ในห้องน้ำ ? ✌️❤️ ( น้องนิวโร ที่ 1 แพทย์ ม.นเรศวร 66 ) #DEK66 #DEK67 #TCAS67 #tiktokuni,2023-07-12 06:39:54,,https://www.instagram.com/p/CulmqL4xX_-,GraphVideo,1,655,0,6901,True,1.3755880376344085,#เคล็ดลับ #DEK66 #DEK67 #TCAS67 #tiktokuni,,,47616,66,https://instagram.fbkk6-1.fna.fbcdn.net/v/t51.2885-15/359434259_124073840736900_5258164062050362807_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fbkk6-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=_2OsInq_DbgAX8Cs-YG&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC2hxX7DNm2ee3PDYpTOtVhfBnILN_CuAHTcg6HO0sM-w&oe=64EF938B&_nc_sid=bc0c2c
post,3145023958097874303,ondemandacademy,"ใกล้สอบกลางภาค แต่ที่เรียนมาอย่างงง
สรุปภาษาอังกฤษที่ ช่วยให้รอด midterm
.
รอดด้วยเทคนิค Reading ทักษะการอ่าน สำคัญมากสำหรับการสอบ
คำถามแบบไหนควรเลือกใช้ Skimming หรือ Scanning
หรือใช้เทคนิค Part อ่านแค่บาง Paragraph
หรืือเลือกเทคนิค Whole อ่านทั้งหมด
.
เลิกดิ่ง เมื่อรู้ทริคเหล่านี้ ในคอร์ส Reading & Vocab  ของพี่เอมี่
 ===========================
🔔 กดติดตาม @ PremierPrepEng ได้ทุกช่องทาง เพื่อรับความรู้ภาษาอังกฤษอีกเพียบ
 ===========================
สอบถามรายละเอียดเพิ่มเติม:
💬 Line: @PremierPrep
📞 061-4944424
#PremierPrepbyOndemand #PremierPrep #OnDemand #เรียนภาษาอังกฤษ #PremierTips",2023-07-12 04:28:13,,https://www.instagram.com/p/CulXqB4hE1_,GraphSidecar,5,163,0,,False,0.34232190860215056,#PremierPrepbyOndemand #PremierPrep #OnDemand #เรียนภาษาอังกฤษ #PremierTips,premierprep,,47616,66,https://instagram.fbkk6-1.fna.fbcdn.net/v/t39.30808-6/359332787_295927672820411_3395313056149103776_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fbkk6-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=lBUlQWKVfUQAX-fHl2F&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfAiO-QZTqiVcmT0wf-OHi32L_YqPNgohaSTbWt3CUaTzQ&oe=64F22135&_nc_sid=bc0c2c
post,3144979604913681361,ondemandacademy,"เตรียมปิดเกมในสนามสุดท้าย พร้อมคว้าชัยชนะ กับกิจกรรมติวฟรี 𝐁𝐌𝐀𝐓 : 𝐄𝐍𝐃 𝐆𝐀𝐌𝐄 ติวให้ติด พิชิตสนามสุดท้าย 𝐓𝐡𝐞 𝐋𝐚𝐬𝐭 𝐅𝐢𝐠𝐡𝐭 𝐨𝐟 𝐁𝐌𝐀𝐓 🔥
.
กิจกรรมติวออนไลน์ต่อเนื่อง 7 วันกับ BMAT ครบทั้ง 7 วิชา 🌟
.
มาเตรียมตัวพิชิตสนามสุดท้าย อัดเทคนิคให้แน่น พร้อมอัพคะแนนให้พุ่ง❗ไปด้วยกันกับทีมครูผู้มากประสบการณ์ของ ignite ⭐
.
ร่วมสร้างประวัติศาสตร์เป็นผู้พิชิต BMAT เตรียมสอบเข้าคณะแพทย์รอบ Portfolio ไปด้วยกัน! 𝐖𝐞’𝐫𝐞 𝐠𝐨𝐧𝐧𝐚 𝐰𝐢𝐧 🎉🎉
.
📅 ตารางกิจกรรมทุกวิชาเริ่มเวลาเดียวกัน 17.30 - 20.30 น. ผ่านโปรแกรม Zoom
👉 17 July ติวฟรี BMAT Critical Thinking by พี่กั๊ก
👉 18 July ติวฟรี BMAT Problem Solving by พี่ภัทร์
👉 19 July ติวฟรี BMAT Physics by พี่เกรท
👉 20 July ติวฟรี BMAT Chemistry by พี่ก๊อฟ
👉 21 July ติวฟรี BMAT Biology by พี่เคนจิ
👉 24 July ติวฟรี BMAT Math by พี่ภัทร์
👉 26 July ติวฟรี BMAT Writing by พี่กั๊ก
**เหมาะสำหรับน้อง ม.5-6 ที่กำลังเตรียมตัวสอบ BMAT
.
🎯ลงทะเบียน คลิกที่โพสต์หน้าเพจ Facebook ได้เลย! 
**ด่วน! รับจำนวนจำกัด
.
.
.
#ondemand #ignitebyondemand #BMAT #BMATEndgame #BMATFinalCall #แพทย์รอบพอร์ต #แพทย์รอบ1 #หมออินเตอร์ #TCASรอบ1 #อยากเป็นหมอ",2023-07-12 03:00:06,,https://www.instagram.com/p/CulNkmwunPR,GraphImage,1,188,0,,False,0.3948252688172043,#ondemand #ignitebyondemand #BMAT #BMATEndgame #BMATFinalCall #แพทย์รอบพอร์ต #แพทย์รอบ1 #หมออินเตอร์ #TCASรอบ1 #อยากเป็นหมอ,,,47616,66,https://instagram.fbkk6-1.fna.fbcdn.net/v/t39.30808-6/359311931_295526339527211_5452146605290741868_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.fbkk6-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=rToHi2haHJ4AX8-4IU6&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfAYHW_UtOsTAEHn55IVKgJZND3IoI2M-7jtG3ZZNSheFQ&oe=64F3672A&_nc_sid=bc0c2c
post,3144934934610962402,ondemandacademy,ติว Midterm TU ม.6 ชิวๆ กับพี่โดนัท ชิวไปไหม... #TU87 #เตรียมอุดม #ใจดีพี่ติวให้ออนดีมานด์,2023-07-12 01:31:38,,https://www.instagram.com/p/CulDakTM-fi,GraphVideo,1,721,1,8064,True,1.5162970430107527,#TU87 #เตรียมอุดม #ใจดีพี่ติวให้ออนดีมานด์,,,47616,66,https://instagram.fbkk6-1.fna.fbcdn.net/v/t51.2885-15/359792701_971300073913112_980845530622804589_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fbkk6-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=j5Pbhda2bEcAX_RUKfl&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDqF0PzCha03CrTFWI6TDR7dAP9xBgmX6LQivIqj7OplA&oe=64EF7757&_nc_sid=bc0c2c
post,3143860498226147605,ondemandacademy,#เคล็ดลับ : จะเข้าทันตะต้องรู้ ? ✌️❤️ ( น้องคิตตี้ ที่ 1 ทันตะ จุฬาฯ 66 ) #DEK66 #DEK67 #TCAS67 #tiktokuni,2023-07-10 13:57:32,,https://www.instagram.com/p/CuhPHdcJvEV,GraphVideo,1,1089,0,8367,True,2.287046370967742,#เคล็ดลับ #DEK66 #DEK67 #TCAS67 #tiktokuni,,,47616,66,https://instagram.fbkk6-1.fna.fbcdn.net/v/t51.2885-15/358959206_215045298168536_5811039628378324895_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fbkk6-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=-f82_23ds3gAX_1hNkh&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBwa-8W_WJTaU_meuLvpfS5A0Uo5ONt3ZFiF2jDJuw0rQ&oe=64EF4020&_nc_sid=bc0c2c
post,3143711264731409715,ondemandacademy,"มาดูคำแนะนำจากรุ่นพี่น้องพราว ที่ 1 ชีววิทยา A-Level 100 คะแนนเต็ม จากห้องสดพี่วิเวียน ว่ามีเคล็ดลับอะไรที่ทำให้สอบได้คะแนนดี ติดคณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย และน้องคนไหนอยากดูเคล็ดลับของน้องพราวแบบเต็มๆ ไปดูได้ที่ Youtube OnDemand Academy ได้เลย
.
ดูจบเเล้วอยากคะแนนดี สอบติดคณะปังมาขอคำแนะนำหรือทดลองเรียนได้ที่ ออนดีมานด์นะครับ
.
🔥 คอร์สออนไลน์ทดลองเรียนได้ฟรี ประถม - ม.ต้น - ม.ปลาย
เรียนกับ OnDemand ดียังไง?
.
✅ เนื้อหาใหม่อัพเดททุกปี แนวโจทย์ครอบคลุม คุณภาพเทียบเท่ากับข้อสอบจริง
✅ เทคนิคเฉพาะพิชิตโจทย์
✅ Online Solution เฉลยข้อสอบอย่างละเอียด เคลียร์ทุกประเด็น
✅ ระบบ Support: Success Plan ช่วยวางแผนการเรียน, Guru Planner ปรึกษาวางแผนการเรียนกับผู้เชี่ยวชาญ, Road Map ช่วย guideline ทิศทางการเรียน
✅ ระบบ clear ตอบคำถามน้องๆ ภายใน 24 ชม.
.
❣️ ติวเลข, อังกฤษ, วิทยาศาสตร์, เคมี, ชีวะ, ฟิสิกส์, TCAS, TGAT, TPAT1, TPAT3
❣️ ติวเข้มข้นเตรียมสอบเเข่งขัน: เตรียมอุดม, มหิดล
.
เรียนบนระบบ Learn Anywhere แพลตฟอร์มเรียนออนไลน์ที่เสถียรที่สุด จัดเวลาเรียนง่าย ที่ไหนเมื่อไหร่เรียนก็ได้ #LearnAnywhere",2023-07-10 09:00:08,,https://www.instagram.com/p/CugtL06ta0z,GraphImage,1,1241,1,,False,2.608366935483871,#LearnAnywhere,,,47616,66,https://instagram.fbkk6-1.fna.fbcdn.net/v/t39.30808-6/358153133_293114049768440_4837297691012523167_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=instagram.fbkk6-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=ezzHcIsxF24AX8Vqc6p&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfDxflGcgdHfC3_u4sVQThrpi2M_AWTK-22usgJw0krWMA&oe=64F223F4&_nc_sid=bc0c2c
post,3143680020145132616,ondemandacademy,#เคล็ดลับ : ทำเต็มที่ ทำให้ดีที่สุด ✌️❤️ ( น้องเบสท์  A-LEVEL เคมี 92.5 คะแนน ) #DEK66 #DEK67 #TCAS67 #tiktokuni,2023-07-10 07:58:29,,https://www.instagram.com/p/CugmFKIPlRI,GraphVideo,1,391,0,3878,True,0.8211525537634409,#เคล็ดลับ #DEK66 #DEK67 #TCAS67 #tiktokuni,,,47616,66,https://instagram.fbkk6-2.fna.fbcdn.net/v/t51.2885-15/358796045_1315580656025637_6605610195686957466_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fbkk6-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=QH4tI_JlAqoAX9S6Yuy&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAORYJfEAJvvNfjYAyG_prIozXxjn2n_PNPhrCxC3SX8g&oe=64EF9FF1&_nc_sid=bc0c2c
post,3142805282140584206,ondemandacademy,"คอร์สเรียนฟรี ก็มีน้า 😝 พี่ออนดีมานด์ใจดี แจกคอร์สทดลองเรียนไว้เก็บเกรด 4 แบบจุก ๆ 
.
ทดลองเรียนฟรีกันได้ที่ 👉🏻 Link in Bio
.
#OnDemand #ออนดีมานด์ #โปร7เดือน7 #7เดือน7 #โปรแรง #ลดจุกๆแบบไม่ต้องเจ็บ",2023-07-09 03:00:06,,https://www.instagram.com/p/CudfMC4NfkO,GraphImage,1,476,0,,False,0.9996639784946236,#OnDemand #ออนดีมานด์ #โปร7เดือน7 #7เดือน7 #โปรแรง #ลดจุกๆแบบไม่ต้องเจ็บ,,,47616,66,https://instagram.fbkk6-1.fna.fbcdn.net/v/t39.30808-6/358117421_292552329824612_237405128117704856_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=instagram.fbkk6-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=PoBVeZZ_pUgAX_Mmx_2&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfD-yzWhF6ho6tLECqWL0mvxPoxzdxXpmX93M91hTsXzpg&oe=64F1D79D&_nc_sid=bc0c2c
